ctx,n_disc,p_up_disc,n_val,p_up_val,edge_disc,edge_val,same_side,pattern
63,2165,0.5214780600461894,2253,0.48113626276076343,0.02147806004618935,0.018863737239236567,False,DJ-DJ-WS
67,2151,0.48210134821013484,2396,0.4991652754590985,0.01789865178986516,0.0008347245409014992,True,DJ-WS-DJ
7,5505,0.4828337874659401,6005,0.5032472939217318,0.01716621253405992,0.003247293921731842,False,SB-WB-DJ
64,1919,0.515372589890568,2100,0.5057142857142857,0.015372589890568,0.005714285714285672,True,DJ-DJ-SS
17,5513,0.4859423181570833,6009,0.5109003161923781,0.014057681842916725,0.010900316192378079,False,SB-WS-DJ
60,1935,0.5136950904392765,2072,0.513996138996139,0.013695090439276525,0.013996138996139051,True,DJ-DJ-SB
39,5593,0.512783836939031,5974,0.49531302310010045,0.012783836939030957,0.004686976899899553,False,WB-DJ-SS
27,5563,0.48750674096710406,5922,0.5055724417426545,0.012493259032895943,0.005572441742654477,False,WB-SB-DJ
122,4926,0.5123832724319936,5473,0.4936963274255436,0.012383272431993553,0.006303672574456409,False,SS-SS-DJ
86,5967,0.4878498407910173,6534,0.4970921334557698,0.012150159208982714,0.0029078665442301976,True,WS-DJ-WB
66,6144,0.5120442708333334,6600,0.5007575757575757,0.01204427083333337,0.0007575757575757347,True,DJ-WS-WB
32,6108,0.48804846103470856,6590,0.49969650986342945,0.011951538965291442,0.00030349013657055,True,WB-WB-DJ
97,5617,0.5111269360868791,5899,0.4909306662146126,0.011126936086879091,0.009069333785387379,False,WS-SS-DJ
22,4976,0.5108520900321544,5320,0.5067669172932331,0.010852090032154371,0.006766917293233088,True,SB-SS-DJ
11,5412,0.5096082779009609,6153,0.5030066634162197,0.00960827790096086,0.0030066634162196904,True,SB-DJ-WB
76,15608,0.4908380317785751,17095,0.49839134249780637,0.009161968221424899,0.0016086575021936333,True,WS-SB-WB
36,5950,0.5090756302521008,6562,0.4934471197805547,0.009075630252100786,0.006552880219445278,False,WB-DJ-WB
4,12983,0.5088192251405684,14136,0.49936332767402375,0.008819225140568432,0.0006366723259762508,False,SB-SB-SS
59,5331,0.5083474019883699,5979,0.49356079611975245,0.008347401988369918,0.006439203880247546,False,DJ-WB-SS
53,5475,0.508310502283105,5924,0.4989871708305199,0.008310502283105037,0.0010128291694800895,False,DJ-SB-WS
0,13158,0.5079799361605107,14267,0.5080956052428681,0.007979936160510737,0.00809560524286812,True,SB-SB-SB
45,14443,0.506958388146507,15894,0.499307914936454,0.006958388146506955,0.0006920850635460107,False,WB-SS-SB
87,2164,0.5069316081330869,2328,0.4965635738831615,0.006931608133086908,0.0034364261168384758,False,WS-DJ-DJ
105,14536,0.5068794716565768,15603,0.5020829327693392,0.006879471656576763,0.0020829327693392408,True,SS-WB-SB
29,14444,0.4932844087510385,15562,0.5064901683588228,0.006715591248961483,0.006490168358822768,False,WB-SB-SS
