ctx,n_disc,p_up_disc,n_val,p_up_val,edge_disc,edge_val,same_side,pattern
100,126,0.6190476190476191,146,0.4589041095890411,0.11904761904761907,0.0410958904109589,False,SS-SB-SB
59,102,0.39215686274509803,114,0.5614035087719298,0.10784313725490197,0.06140350877192979,False,DJ-WB-SS
120,126,0.42063492063492064,131,0.48854961832061067,0.07936507936507936,0.011450381679389332,True,SS-SS-SB
17,107,0.5700934579439252,116,0.5,0.07009345794392519,0.0,False,SB-WS-DJ
101,167,0.4311377245508982,181,0.4696132596685083,0.06886227544910178,0.03038674033149169,True,SS-SB-WB
55,101,0.43564356435643564,101,0.5247524752475248,0.06435643564356436,0.024752475247524774,False,DJ-WB-SB
107,101,0.5544554455445545,101,0.5544554455445545,0.054455445544554504,0.054455445544554504,True,SS-WB-DJ
99,184,0.5543478260869565,214,0.45794392523364486,0.05434782608695654,0.042056074766355145,False,WS-SS-SS
76,278,0.4460431654676259,309,0.49514563106796117,0.0539568345323741,0.004854368932038833,True,WS-SB-WB
71,103,0.5533980582524272,129,0.5193798449612403,0.05339805825242716,0.019379844961240345,True,DJ-SS-WB
21,188,0.44680851063829785,194,0.4742268041237113,0.05319148936170215,0.02577319587628868,True,SB-SS-WB
109,179,0.553072625698324,203,0.4975369458128079,0.05307262569832405,0.0024630541871921152,False,SS-WB-SS
4,107,0.5514018691588785,126,0.47619047619047616,0.051401869158878455,0.023809523809523836,False,SB-SB-SS
29,176,0.5511363636363636,186,0.5,0.051136363636363646,0.0,False,WB-SB-SS
84,262,0.45038167938931295,286,0.493006993006993,0.04961832061068705,0.006993006993006978,True,WS-WB-SS
56,153,0.5490196078431373,160,0.5,0.0490196078431373,0.0,False,DJ-WB-WB
53,102,0.45098039215686275,109,0.5137614678899083,0.04901960784313725,0.013761467889908285,False,DJ-SB-WS
86,175,0.4514285714285714,167,0.49101796407185627,0.0485714285714286,0.008982035928143728,True,WS-DJ-WB
58,155,0.45161290322580644,162,0.4567901234567901,0.04838709677419356,0.0432098765432099,True,DJ-WB-WS
82,181,0.4530386740331492,169,0.47337278106508873,0.04696132596685082,0.026627218934911268,True,WS-WB-DJ
19,187,0.45454545454545453,200,0.435,0.04545454545454547,0.065,True,SB-WS-SS
23,167,0.5449101796407185,194,0.4690721649484536,0.04491017964071853,0.030927835051546393,False,SB-SS-WS
38,151,0.543046357615894,165,0.49696969696969695,0.04304635761589404,0.00303030303030305,False,WB-DJ-WS
27,107,0.5420560747663551,87,0.5517241379310345,0.04205607476635509,0.051724137931034475,True,WB-SB-DJ
15,176,0.4602272727272727,187,0.5080213903743316,0.03977272727272729,0.008021390374331583,False,SB-WS-SB
36,152,0.5394736842105263,158,0.5,0.03947368421052633,0.0,False,WB-DJ-WB
78,279,0.5376344086021505,297,0.46464646464646464,0.037634408602150504,0.03535353535353536,False,WS-SB-WS
24,108,0.5370370370370371,134,0.48507462686567165,0.03703703703703709,0.014925373134328346,False,SB-SS-SS
75,179,0.46368715083798884,191,0.47643979057591623,0.03631284916201116,0.023560209424083767,True,WS-SB-SB
26,264,0.4659090909090909,273,0.5201465201465202,0.034090909090909116,0.020146520146520186,False,WB-SB-WB
92,178,0.46629213483146065,180,0.48333333333333334,0.03370786516853935,0.016666666666666663,True,WS-WS-DJ
48,293,0.46757679180887374,291,0.5120274914089347,0.03242320819112626,0.012027491408934665,False,WB-SS-WS
123,158,0.5316455696202531,213,0.4788732394366197,0.03164556962025311,0.02112676056338031,False,SS-SS-WS
49,177,0.5310734463276836,187,0.5133689839572193,0.031073446327683607,0.013368983957219305,True,WB-SS-SS
118,281,0.4697508896797153,321,0.5015576323987538,0.03024911032028471,0.0015576323987538387,False,SS-WS-WS
9,204,0.47058823529411764,177,0.4689265536723164,0.02941176470588236,0.031073446327683607,True,SB-WB-SS
32,140,0.5285714285714286,166,0.5060240963855421,0.02857142857142858,0.0060240963855421326,True,WB-WB-DJ
42,165,0.5272727272727272,161,0.5279503105590062,0.027272727272727226,0.02795031055900621,True,WB-WS-DJ
45,167,0.5269461077844312,181,0.5082872928176796,0.026946107784431184,0.008287292817679592,True,WB-SS-SB
