symbol,timeframe,fold,model,n_test,auc,accuracy,trades,gross_bps_per_trade,net_bps_per_trade
V75,5m,train2016-2017_test2018,logistic,105120,0.50278,0.50225,4913,0.3835,-3.0885
V75,5m,train2016-2017_test2018,gbm,105120,0.5023,0.50318,7752,-0.2894,-3.7681
V75,5m,train2016-2018_test2019,logistic,105120,0.49899,0.49851,1647,-0.3488,-3.8272
V75,5m,train2016-2018_test2019,gbm,105120,0.50189,0.50053,2841,-1.288,-4.7781
V75,5m,train2016-2019_test2020,logistic,105408,0.5006,0.49933,253,-1.71,-5.1974
V75,5m,train2016-2019_test2020,gbm,105408,0.49967,0.50049,1459,0.1519,-3.3405
V75,5m,train2016-2020_test2021,logistic,63071,0.50138,0.50199,31,-3.6875,-7.1621
V75,5m,train2016-2020_test2021,gbm,63071,0.50264,0.50166,738,0.014,-3.474
V75,1h,train2016-2017_test2018,logistic,8760,0.50821,0.50388,4623,1.3907,-11.1428
V75,1h,train2016-2017_test2018,gbm,8760,0.49681,0.49886,3747,-1.3401,-13.8969
V75,1h,train2016-2018_test2019,logistic,8760,0.5074,0.50194,4134,-0.0272,-12.6773
V75,1h,train2016-2018_test2019,gbm,8760,0.50871,0.50491,3546,2.2213,-10.4406
V75,1h,train2016-2019_test2020,logistic,8784,0.50003,0.50296,3837,-0.9134,-13.5592
V75,1h,train2016-2019_test2020,gbm,8784,0.50078,0.50023,3689,-1.2601,-13.9294
V75,1h,train2016-2020_test2021,logistic,5255,0.48827,0.49077,1815,-3.8943,-16.5704
V75,1h,train2016-2020_test2021,gbm,5255,0.48959,0.48677,1996,-1.4283,-14.1001
V100,5m,train2016-2017_test2018,logistic,105120,0.49748,0.49848,2792,0.5143,-4.1518
V100,5m,train2016-2017_test2018,gbm,105120,0.50089,0.50089,4669,-0.4402,-5.1081
V100,5m,train2016-2018_test2019,logistic,105120,0.50085,0.49976,172,0.0758,-4.6011
V100,5m,train2016-2018_test2019,gbm,105120,0.50159,0.50248,6179,0.3896,-4.2671
V100,5m,train2016-2019_test2020,logistic,105408,0.50003,0.49953,25,-18.6161,-23.2913
V100,5m,train2016-2019_test2020,gbm,105408,0.49641,0.49801,2244,-0.1097,-4.7864
V100,5m,train2016-2020_test2021,logistic,63071,0.49937,0.50021,11,1.7852,-2.7461
V100,5m,train2016-2020_test2021,gbm,63071,0.49882,0.49898,585,-0.9333,-5.5736
V100,1h,train2016-2017_test2018,logistic,8760,0.50595,0.50068,5046,0.8336,-15.9828
V100,1h,train2016-2017_test2018,gbm,8760,0.50264,0.50251,3916,-0.7171,-17.573
V100,1h,train2016-2018_test2019,logistic,8760,0.4993,0.49532,3856,0.2395,-16.6064
V100,1h,train2016-2018_test2019,gbm,8760,0.50921,0.51005,3585,1.1372,-15.78
V100,1h,train2016-2019_test2020,logistic,8784,0.49554,0.49476,3483,-0.153,-17.0164
V100,1h,train2016-2019_test2020,gbm,8784,0.49755,0.50114,2555,-1.006,-17.9164
V100,1h,train2016-2020_test2021,logistic,5255,0.49262,0.49515,1642,-0.2155,-17.1577
V100,1h,train2016-2020_test2021,gbm,5255,0.49325,0.49705,1905,-2.0174,-19.0633
