symbol,timeframe,pattern,bias,horizon,n,p_up,hit_rate,mean_fwd_ret_bps,fwd_range_ratio,pval_direction,pval_range,fdr_direction,fdr_range
V75,1m,doji,0,1,219566,0.5002,,-0.0116,1.0019,0.8493592768319858,0.014047814916740413,0.9665122805329494,0.028095629833480826
V75,1m,doji,0,5,219566,0.49794,,-0.0453,1.0015,0.053966394069160324,0.04051901583570577,0.37611329971096835,0.07428486236546057
V75,1m,doji,0,15,219566,0.49739,,-0.1566,1.0025,0.014542980210082304,0.0002692141707971736,0.2896083306284528,0.0007403389696922273
V75,1m,spinning_top,0,1,307345,0.49936,,-0.0043,1.0026,0.47727343381412257,7.388997777516163e-05,0.7480394602252445,0.0002172519345485781
V75,1m,spinning_top,0,5,307345,0.49872,,-0.0608,1.0017,0.15731057528710513,0.005088811141248904,0.591225704550821,0.010495672978825863
V75,1m,spinning_top,0,15,307345,0.49929,,-0.1247,1.0026,0.43371726435333413,9.680997319080672e-06,0.7480394602252445,4.545833919836011e-05
V75,1m,marubozu_bull,1,1,148254,0.50101,0.50101,-0.0193,0.9998,0.44049775954096904,0.8463278871607341,0.7480394602252445,0.8593483161939762
V75,1m,marubozu_bull,1,5,148254,0.49997,0.49997,0.0243,0.9994,0.9813516860647771,0.5055374373261388,0.997936404610361,0.6066449247913666
V75,1m,marubozu_bull,1,15,148254,0.49918,0.49918,-0.0032,0.9996,0.5313722790612414,0.6655193478470974,0.7480394602252445,0.7200701140640726
V75,1m,marubozu_bear,-1,1,149496,0.50041,0.49959,0.0032,0.9947,0.7503943945488402,7.842103997189515e-09,0.8688777200039203,5.750876264605644e-08
V75,1m,marubozu_bear,-1,5,149496,0.50001,0.49999,-0.0652,0.9958,0.9979364046103609,4.549174957101906e-07,0.997936404610361,2.7295049742611436e-06
V75,1m,marubozu_bear,-1,15,149496,0.49983,0.50017,-0.0727,0.9959,0.895060900712569,8.51395335172699e-07,0.96842654831196,4.682674343449845e-06
V75,1m,hammer,1,1,151344,0.50058,0.50058,0.0162,1.0006,0.652827917136184,0.5422481211303873,0.819318569206438,0.6225356225493366
V75,1m,hammer,1,5,151344,0.49892,0.49892,-0.0226,1.0017,0.40348580224112446,0.046392659058443336,0.7480394602252445,0.08275447291506109
V75,1m,hammer,1,15,151344,0.50015,0.50015,-0.0248,1.0017,0.9119879600419495,0.036790327181181685,0.9708258929478817,0.06937604554165688
